year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2008,1,28,8,19,2783,61,N,15,23,152,W,25,35,643,3
2008,1,28,13,2,635,59,N,21,47,153,W,25,52,0,0
2008,1,28,14,57,3295,58,N,14,89,155,W,6,86,0,7
2008,1,28,16,4,2401,61,N,54,55,143,W,58,87,0,11
2008,1,28,16,18,4464,58,N,10,69,155,W,19,64,131,5
2008,1,28,19,53,1170,58,N,10,69,155,W,19,68,0,6
2008,1,28,20,12,2056,58,N,10,26,155,W,22,29,63,2
2008,1,29,4,15,3889,61,N,8,43,152,W,21,46,503,5
2008,1,29,17,21,2658,61,N,8,75,152,W,22,88,570,3
2008,1,29,23,53,2738,58,N,21,76,154,W,47,24,324,8
2008,1,30,3,28,4246,58,N,11,14,155,W,23,33,260,4
2008,1,30,5,7,4076,58,N,14,57,155,W,8,24,0,0
2008,1,30,5,58,2329,58,N,16,99,154,W,58,84,0,4
2008,1,30,8,34,3728,61,N,18,39,152,W,13,77,252,0
2008,1,30,13,47,5258,58,N,16,66,154,W,59,91,0,5
2008,1,30,15,6,2615,51,N,57,14,178,E,32,76,207,5
2008,1,30,16,25,1184,51,N,57,57,178,E,32,81,518,2
2008,1,30,16,55,2351,51,N,57,73,178,E,33,31,330,3
2008,1,31,1,15,2480,61,N,34,61,152,W,25,10,195,9
2008,1,31,8,59,80,58,N,12,38,155,W,11,30,0,4
2008,1,31,10,6,3618,55,N,22,19,161,W,59,10,0,12
2008,1,31,10,58,278,61,N,4,49,152,W,14,64,1507,8
2008,1,31,11,50,1653,55,N,11,29,162,W,24,79,0,14
2008,1,31,11,53,5865,55,N,10,77,162,W,24,96,0,13
2008,1,31,11,58,2150,55,N,11,47,162,W,24,35,0,12
2008,1,31,15,12,336,61,N,18,85,152,W,14,71,400,4
2008,1,31,16,23,1360,61,N,5,33,152,W,30,22,369,3
2008,1,31,20,18,1756,61,N,30,37,152,W,,16,620,6
2008,1,31,21,41,775,59,N,21,82,153,W,25,84,0,-4
2008,1,31,22,26,2744,61,N,31,69,151,W,59,91,508,4
2008,2,1,6,15,4402,61,N,31,16,151,W,59,98,515,2
2008,2,1,7,52,1610,58,N,13,29,155,W,11,89,0,-2
2008,2,1,11,20,2814,58,N,11,0,155,W,17,3,261,8
2008,2,1,14,50,5960,58,N,16,82,154,W,59,70,194,6
2008,2,1,16,16,4877,59,N,21,77,153,W,26,42,0,-9
2008,2,1,17,47,1126,61,N,7,73,152,W,29,87,355,1
2008,2,1,20,32,2457,55,N,11,0,162,W,25,69,0,16
2008,2,1,20,38,3135,55,N,11,11,162,W,24,80,0,13
2008,2,1,20,40,5927,55,N,11,23,162,W,24,26,0,21
2008,2,1,21,12,5629,58,N,13,69,155,W,10,80,0,-7
2008,2,1,21,28,2083,54,N,43,92,164,W,6,49,83,9
2008,2,1,22,28,2903,58,N,9,54,154,W,44,24,1049,14
2008,2,2,1,48,2018,58,N,8,35,154,W,43,71,1134,16
2008,2,2,5,38,4378,58,N,17,72,155,W,,0,224,15
2008,2,2,6,19,2266,59,N,21,52,153,W,25,63,0,1
2008,2,2,6,20,192,58,N,11,26,155,W,20,69,0,2
2008,2,2,6,38,1983,54,N,43,42,164,W,6,85,2,12
2008,2,2,8,31,658,58,N,29,62,154,W,43,19,472,11
2008,2,2,12,10,5963,51,N,56,48,178,E,32,35,676,8
2008,2,2,14,2,767,62,N,1,98,144,W,12,57,334,9
2008,2,2,14,9,4194,61,N,10,98,152,W,12,94,457,-2
2008,2,2,17,39,3964,58,N,52,3,153,W,49,15,639,10
2008,2,2,19,1,4891,58,N,59,37,153,W,48,89,1026,15
2008,2,2,22,49,3351,52,N,5,43,174,W,21,68,923,12
2008,2,3,12,13,492,53,N,26,5,168,W,6,39,925,16
2008,2,3,12,42,5543,61,N,18,42,152,W,15,52,0,-1
2008,2,3,12,45,627,61,N,17,58,152,W,15,29,162,7
2008,2,3,12,49,859,61,N,17,49,152,W,15,57,265,4
2008,2,3,12,54,5818,61,N,16,97,152,W,14,69,150,0
